Method,Sample,Volume,Sphericity,Z/XY Ratio,Total Loss
x2 ewc loss,2,5.3744999999999985,0.7015442501426626,3.9440179349425657,3.526089638943681
x2 ewc loss,3,3.5632500000000005,0.9053702371417192,2.0434663076797026,1.2870690822408732
x2 ewc loss,4,3.4891249999999987,0.9140069686836679,1.9345082390648891,1.1871778884848756
x2 ewc loss,5,3.3352500000000003,0.895508654444844,1.9588851489775188,1.2668037694311702
x2 ewc loss,6,3.645250000000001,0.8950060475407985,2.0200380544614536,1.2544205906321428
x2 ewc loss,7,3.850250000000001,0.8151422024278097,5.487967532340866,4.753252843646039
x2 ewc loss,8,3.5647500000000023,0.8403886132048598,5.0651717575577315,4.373397904324211
x2 ewc loss,9,4.7018749999999985,0.7923588319661842,3.247600960607453,2.578212035495818
x2 ewc loss,10,3.908125,0.7865613928135272,3.0056611864910385,2.2857047614348556
x2 ewc loss,11,5.159625000000001,0.7226543567041203,3.3444656922485234,2.854107729143639
x2 ewc loss,12,4.46,0.8896557652529052,2.1944873492196284,1.3700333991088296
x2 ewc loss,13,4.2908750000000015,0.9023019043973014,2.3119092573008513,1.4344162853133902
x2 ewc loss,14,4.055249999999999,0.9211074667690631,2.0590160827326076,1.169375059718023
x2 ewc loss,15,3.330874999999999,0.9653471989479667,1.5325399565080853,0.7716649333423018
x2 ewc loss,16,3.7616250000000004,0.9505914065806047,1.632321278061065,0.7833240916858579
x2 ewc loss,17,3.6123749999999997,0.9247633222699556,1.6182210909420844,0.8306980361667552
x2 ewc loss,18,3.491625000000002,0.8864694277392979,2.340437721738404,1.6200478258835096
x2 ewc loss,19,4.263000000000001,0.8972505250511834,2.1020271872831526,1.2229280832971712
x2 ewc loss,20,3.414500000000002,0.8936852263501955,2.179869928659252,1.4706843440573247
x2 ewc loss,21,3.8325000000000022,0.91652128268892,2.479600395693606,1.6477459388943438
x2 ewc loss,22,4.513625000000003,0.8494427584135691,3.028351348135157,2.2569179042666088
x2 ewc loss,23,4.158000000000003,0.8857309649021602,2.859031558213316,1.9802267934544557
x2 ewc loss,24,4.0375,0.938548485791077,1.7703500473737053,0.867507317493782
x2 ewc loss,25,3.954874999999999,0.9316326135639251,1.9029965823845867,1.02680342427803
x2 ewc loss,26,3.954874999999999,0.9316326135639251,1.9029965823845867,1.02680342427803
x2 ewc loss,27,3.7092500000000017,0.939762420392868,1.7983792988430898,0.9727200549489079
x2 ewc loss,28,3.8861249999999994,0.9042634280643047,2.004262632273893,1.1718585306963332
x2 ewc loss,29,3.8954999999999997,0.9297773257401695,1.7705475467576741,0.9103904741820618
x2 psf loss,0,3.8122500000000006,0.8873361341246145,2.3140845874146168,1.516251677555586
x2 psf loss,1,3.9501250000000017,0.8965763082709202,2.365092363684585,1.5250899746876074
x2 psf loss,2,4.398125000000004,0.9036771834183115,2.2204731025417765,1.3672198503391335
x2 psf loss,3,3.6957500000000008,0.8612591220041328,1.8121841850519858,1.0682525051304896
x2 psf loss,4,3.6927500000000015,0.8729115865171677,1.8532132194417728,1.0983455784703415
x2 psf loss,5,3.4171250000000017,0.8499411895108768,1.894458063473358,1.228389575180537
x2 psf loss,6,4.153625000000002,0.8431132233338556,4.903271877014868,4.068129754708
x2 psf loss,7,4.205125000000001,0.8160859368510726,4.962936041821068,4.151178980059559
x2 psf loss,8,4.096875000000007,0.8280090301403336,4.594530992722024,3.788046920785654
x2 psf loss,9,4.7283750000000015,0.9227377566722924,1.9959428780168984,1.2025041421232068
x2 psf loss,10,3.935125,0.9371887443374949,1.8182292632801587,0.9411969555321074
x2 psf loss,11,4.7585000000000015,0.8993673441588046,3.054614689612625,2.2917412551743843
x2 psf loss,12,3.97775,0.8866861390006142,2.1079273149941082,1.271217292544724
x2 psf loss,13,3.742750000000002,0.8751164368279926,2.1847158848330968,1.4157016691658395
x2 psf loss,14,3.8000000000000007,0.8548214864246365,2.712907070177051,1.9505145304923235
x2 psf loss,15,3.0725000000000016,0.9285492750075991,1.47603285448076,0.8136646160148371
x2 psf loss,16,3.4013750000000003,0.9082892038131796,1.6262835001577605,0.9056286407439121
x2 psf loss,17,3.2062500000000003,0.8499832302121147,4.485292087455683,3.8695457810553666
x2 psf loss,18,3.987250000000001,0.8956444222524887,2.003113429225533,1.1551761958911237
x2 psf loss,19,4.717749999999999,0.8383905278283426,2.038440958629657,1.3268118351481017
x2 psf loss,20,3.920750000000001,0.8900259649654498,1.8575181694150638,1.031081886799745
x2 psf loss,21,4.656125000000005,0.7546288184081074,3.507570008590594,2.8649844192247613
x2 psf loss,22,4.578625000000002,0.7686687660107153,3.636586349271662,2.9614511395064693
x2 psf loss,23,4.629000000000003,0.76633047908347,3.7539218887636405,3.0931562532435817
x2 psf loss,24,3.863750000000003,0.8173853208982432,1.9536573178076166,1.2134752450584054
x2 psf loss,25,3.818624999999999,0.8226145223605784,2.014420639014309,1.279786771060227
x2 psf loss,26,3.818624999999999,0.8226145223605784,2.014420639014309,1.279786771060227
x2 psf loss,27,3.880249999999999,0.900892499812241,3.6586768816050554,2.831046860894797
x2 psf loss,28,3.8691250000000013,0.8872149697387444,3.7243821414162324,2.913086684455133
x2 psf loss,29,4.087750000000003,0.8663507289506636,3.547841014436906,2.705194608390469
x2 vq loss,0,3.722750000000001,0.8969849446622912,2.0177689104991448,1.2316628767515896
x2 vq loss,1,3.8387500000000023,0.9079000052972603,2.087614898066331,1.2628890031106035
x2 vq loss,2,4.399250000000001,0.9178578356057215,1.8813175835191602,1.0141523679277689
x2 vq loss,3,3.9847499999999982,0.8431975994702777,3.570041103697913,2.775147779364966
x2 vq loss,4,3.9312500000000012,0.8620499726858281,3.4764348374800824,2.675466785023535
x2 vq loss,5,3.76525,0.8352424934970623,3.3947908014678934,2.6602767531583162
x2 vq loss,6,3.6800000000000015,0.9551975606403231,1.4878293960389826,0.6537209206625713
x2 vq loss,7,3.9205000000000014,0.8659852886370591,4.448467994581493,3.6461320969164897
x2 vq loss,8,3.581250000000001,0.9138286249784979,4.242836752778875,3.4736821187246667
