    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,562:      pdf_renderer.py:  470: printSegment: |ni|1.33|immersion
   DEBUG: 2024-08-10 13:08:10,563:      pdf_renderer.py:  470: printSegment: medium RI experimental value|
   DEBUG: 2024-08-10 13:08:10,563:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,564:      pdf_renderer.py:  470: printSegment: |ti0|150|microns, working distance (immersion medium thickness) design value|
   DEBUG: 2024-08-10 13:08:10,564:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,565:      pdf_renderer.py:  470: printSegment: |tg0|170|microns, coverslip thickness design value|
   DEBUG: 2024-08-10 13:08:10,565:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,566:      pdf_renderer.py:  470: printSegment: |tg|170|microns, coverslip thickness experimental value|
   DEBUG: 2024-08-10 13:08:10,566:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,567:      pdf_renderer.py:  470: printSegment: |res
   DEBUG: 2024-08-10 13:08:10,567:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,567:      pdf_renderer.py:  470: printSegment: lateral|0.05|microns|
   DEBUG: 2024-08-10 13:08:10,568:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,568:      pdf_renderer.py:  470: printSegment: |res
   DEBUG: 2024-08-10 13:08:10,569:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,569:      pdf_renderer.py:  470: printSegment: axial|0.5|microns|
   DEBUG: 2024-08-10 13:08:10,569:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,570:      pdf_renderer.py:  470: printSegment: |pZ|0|microns, particle distance from coverslip|
   DEBUG: 2024-08-10 13:08:10,570:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,571:      pdf_renderer.py:  470: printSegment: |bet
   DEBUG: 2024-08-10 13:08:10,571:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,571:      pdf_renderer.py:  470: printSegment: z|5.0||
