, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
1072,1073,1072,obj1073-val1073,1073,0,282.68,851.89,48.695,282.68,851.89,48.695,276,846,39,289,857,57,3192,0.361,1152,1152,918,918,589.701,0.194,0.579,0.732,0.901,0.194,0.579,0.959,8.637,1.155,1.608,1257.103,0.916,2.845,9.701,6.306,1.275,MD577,11,80.0,18540.0
3097,3098,3097,obj3098-val3098,3098,0,1652.452,1157.641,158.922,1652.452,1157.641,158.922,1648,1146,143,1656,1166,172,5670,0.239,1357,1357,1304,1304,885.799,0.094,0.455,0.3,0.669,0.094,0.455,0.923,13.591,1.33,2.671,2224.378,0.61,1.498,16.862,7.995,3.103,MD577,11,547.0,26232.0
4770,4771,4770,obj4771-val4771,4771,0,687.629,1049.036,223.037,687.629,1049.036,223.037,683,1045,209,697,1054,239,4650,0.217,1010,1010,1136,1136,791.085,0.079,0.429,0.233,0.615,0.079,0.429,0.902,14.701,2.215,1.373,1976.423,0.511,0.375,16.896,7.419,3.367,MD577,11,872.3843137254902,24293.0
4909,4910,4909,obj4910-val4910,4910,0,728.972,1119.014,235.771,728.972,1119.014,235.771,723,1112,216,738,1124,251,7488,0.249,1863,1863,1670,1670,1153.083,0.084,0.438,0.256,0.635,0.084,0.438,0.926,19.115,2.699,1.475,2724.641,0.684,2.027,21.363,9.622,4.207,MD577,11,1725.8274509803923,30391.0
4999,5000,4999,obj5000-val5000,5000,0,673.341,1148.545,233.716,673.341,1148.545,233.716,667,1139,218,680,1155,247,7140,0.196,1403,1403,1456,1456,985.546,0.072,0.416,0.233,0.615,0.072,0.416,0.908,12.445,1.454,1.395,2740.105,0.512,2.606,18.085,7.941,2.876,MD577,11,1518.1803921568626,28669.0
5136,5137,5136,obj5137-val5137,5137,0,810.984,1110.695,229.789,810.984,1110.695,229.789,799,1099,224,824,1123,238,9750,0.129,1257,1257,1496,1496,982.721,0.053,0.377,0.188,0.573,0.053,0.377,0.884,18.923,2.644,1.266,3208.355,0.392,0.371,17.044,8.992,3.93,MD577,11,2695.639215686275,28047.0
5148,5149,5148,obj5149-val5149,5149,0,1007.007,1348.623,231.763,1007.007,1348.623,231.763,994,1343,224,1017,1354,240,4896,0.249,1217,1217,1250,1250,839.444,0.086,0.441,0.283,0.657,0.086,0.441,0.914,13.306,2.079,1.112,2054.184,0.592,1.397,14.622,7.348,2.661,MD577,11,455.93333333333334,24019.0
5,6,5,obj6-val6,6,0,415.185,162.955,5.111,415.185,162.955,5.111,406,158,0,425,168,14,3300,0.353,1165,1165,1024,1024,701.165,0.143,0.523,0.445,0.764,0.143,0.523,0.943,11.492,1.5,1.803,1567.235,0.743,0.22,11.828,6.82,2.168,MD577,12,1415.0,20853.0
23,24,23,obj24-val24,24,0,548.955,229.924,5.711,548.955,229.924,5.711,544,220,0,555,240,19,5040,0.38,1915,1915,1352,1352,952.188,0.168,0.552,0.48,0.783,0.168,0.552,0.96,11.837,1.338,1.595,2432.815,0.787,3.58,15.015,8.045,2.179,MD577,12,1301.0,25583.0
28,29,28,obj29-val29,29,0,439.703,232.587,11.308,439.703,232.587,11.308,435,226,0,446,239,25,4368,0.303,1323,1323,1122,1122,754.15,0.14,0.519,0.462,0.773,0.14,0.519,0.945,15.359,2.796,1.243,1561.669,0.847,2.722,14.822,7.907,3.015,MD577,12,197.0,22671.0
29,30,29,obj30-val30,30,0,532.374,230.598,14.736,532.374,230.598,14.736,526,224,0,540,236,33,6630,0.311,2064,2064,1486,1486,1020.952,0.147,0.528,0.453,0.768,0.147,0.528,0.955,20.948,3.507,1.333,2347.478,0.879,2.707,19.048,9.986,4.183,MD577,12,2034.0,27992.0
30,31,30,obj31-val31,31,0,233.415,233.1,7.906,233.415,233.1,7.906,225,226,0,240,240,22,5520,0.3,1658,1658,1416,1416,974.901,0.11,0.478,0.336,0.695,0.11,0.478,0.937,13.454,1.664,1.364,2700.957,0.614,0.437,16.341,7.719,2.689,MD577,12,1164.0,25313.0
36,37,36,obj37-val37,37,0,517.075,241.243,15.171,517.075,241.243,15.171,510,231,0,524,253,36,12765,0.24,3065,3065,2430,2430,1660.854,0.074,0.42,0.232,0.614,0.074,0.42,0.932,20.239,2.238,1.308,5298.769,0.578,3.071,22.742,10.96,4.258,MD577,12,2738.0,37789.0
74,75,74,obj75-val75,75,0,244.822,272.469,19.638,244.822,272.469,19.638,240,268,0,253,279,43,7392,0.221,1637,1637,1684,1684,1193.999,0.063,0.399,0.178,0.563,0.063,0.399,0.905,27.541,4.265,1.561,3082.777,0.531,0.667,24.17,11.892,5.497,MD577,12,298.0,32796.0
78,79,78,obj79-val79,79,0,451.923,275.543,14.002,451.923,275.543,14.002,443,269,0,463,283,46,14805,0.276,4085,4085,2814,2814,2000.086,0.085,0.439,0.236,0.618,0.085,0.439,0.944,23.764,2.135,1.732,7118.304,0.574,2.733,32.411,12.956,6.408,MD577,12,2034.0,44693.0
88,89,88,obj89-val89,89,0,492.067,282.863,8.484,492.067,282.863,8.484,488,279,0,497,288,20,2100,0.51,1070,1070,874,874,611.481,0.194,0.579,0.566,0.827,0.194,0.579,0.957,12.051,2.015,1.39,1298.166,0.824,2.382,12.113,6.856,2.145,MD577,12,485.0,19791.0
92,93,92,obj93-val93,93,0,236.285,289.183,14.085,236.285,289.183,14.085,226,282,0,245,298,40,13940,0.184,2567,2567,2546,2546,1722.557,0.045,0.356,0.146,0.526,0.045,0.356,0.9,20.814,1.859,1.607,6798.958,0.378,0.349,27.526,10.703,4.729,MD577,12,311.0,39369.0
97,98,97,obj98-val98,98,0,427.1,294.842,7.917,427.1,294.842,7.917,418,289,0,437,301,27,7280,0.369,2688,2688,1696,1696,1178.262,0.168,0.551,0.5,0.793,0.168,0.551,0.964,12.534,1.204,1.706,3336.745,0.806,4.003,19.859,9.007,2.542,MD577,12,1942.0,29271.0
103,104,103,obj104-val104,104,0,548.574,290.856,13.602,548.574,290.856,13.602,544,284,0,552,299,29,4320,0.24,1038,1038,1040,1040,698.398,0.108,0.477,0.358,0.71,0.108,0.477,0.924,17.092,2.882,1.682,1496.301,0.694,1.283,16.536,8.325,3.646,MD577,12,61.0,23118.0
173,174,173,obj174-val174,174,0,53.564,444.99,7.698,53.564,444.99,7.698,33,434,0,67,454,34,25725,0.068,1740,1740,1798,1798,1230.5,0.059,0.389,0.184,0.569,0.059,0.389,0.903,22.139,1.719,2.647,5808.675,0.3,0.53,29.742,11.376,5.783,MD577,12,235.0,37701.0
195,196,195,obj196-val196,196,0,7.938,484.492,25.991,7.938,484.492,25.991,0,461,0,26,502,45,52164,0.146,7592,7592,5696,5696,3921.545,0.035,0.328,0.108,0.476,0.035,0.328,0.922,25.404,1.751,1.271,17614.985,0.431,1.06,27.081,14.587,5.242,MD577,12,258.0,66562.0
220,221,220,obj221-val221,221,0,146.872,568.581,4.364,146.872,568.581,4.364,139,563,0,153,574,12,2340,0.531,1242,1242,836,836,568.645,0.299,0.668,0.949,0.983,0.299,0.668,0.979,7.691,1.099,1.173,1345.672,0.923,4.386,9.112,6.346,0.87,MD577,12,2800.0,18083.0
280,281,280,obj281-val281,281,0,523.567,1076.945,16.04,523.567,1076.945,16.04,516,1069,0,529,1085,31,7616,0.314,2390,2390,1876,1876,1251.41,0.098,0.461,0.33,0.691,0.098,0.461,0.939,16.141,1.675,2.046,3069.68,0.779,1.568,17.392,9.168,3.211,MD577,12,483.0,29474.0
376,377,376,obj377-val377,377,0,466.234,1122.013,15.551,466.234,1122.013,15.551,458,1112,2,477,1133,31,13200,0.142,1875,1875,1686,1686,1115.231,0.083,0.436,0.287,0.659,0.083,0.436,0.925,17.04,1.812,1.739,3628.115,0.517,2.075,18.48,9.222,3.587,MD577,12,354.0,31901.0
423,424,423,obj424-val424,424,0,499.204,1092.142,20.179,499.204,1092.142,20.179,494,1087,7,503,1097,34,3080,0.394,1212,1212,978,978,660.34,0.178,0.562,0.577,0.833,0.178,0.562,0.955,13.489,2.584,1.138,1352.88,0.896,3.463,14.885,7.318,2.574,MD577,12,456.0,20884.0
455,456,455,obj456-val456,456,0,416.745,263.002,17.571,416.745,263.002,17.571,410,258,9,423,267,29,2940,0.426,1253,1253,1002,1002,666.845,0.177,0.561,0.599,0.843,0.177,0.561,0.955,10.303,1.418,1.582,1440.335,0.87,3.279,11.67,6.665,1.709,MD577,12,2107.0,20045.0
533,534,533,obj534-val534,534,0,473.212,202.257,21.279,473.212,202.257,21.279,467,197,11,479,206,32,2860,0.398,1139,1139,926,926,620.12,0.185,0.57,0.615,0.851,0.185,0.57,0.956,11.325,1.814,1.468,1260.236,0.904,2.497,11.944,6.663,1.96,MD577,12,41.0,19371.0
541,542,541,obj542-val542,542,0,141.303,291.447,28.277,141.303,291.447,28.277,127,284,11,155,302,44,18734,0.141,2641,2641,2336,2336,1522.687,0.062,0.396,0.223,0.607,0.062,0.396,0.919,17.622,1.54,2.009,4811.3,0.549,0.607,21.55,10.061,3.75,MD577,12,477.0,36766.0
563,564,563,obj564-val564,564,0,411.458,1148.643,21.987,411.458,1148.643,21.987,402,1141,11,423,1159,29,7942,0.171,1358,1358,1660,1660,1089.117,0.046,0.357,0.161,0.545,0.046,0.357,0.875,13.042,1.349,1.548,3299.48,0.412,0.789,12.929,7.587,2.59,MD577,12,200.0,27577.0
570,571,570,obj571-val571,571,0,402.98,233.081,24.13,402.98,233.081,24.13,396,224,12,408,241,37,6084,0.283,1723,1723,1468,1468,991.45,0.106,0.473,0.345,0.701,0.106,0.473,0.936,11.92,1.112,2.471,2322.172,0.742,0.992,14.405,7.807,2.468,MD577,12,64.0,25728.0
583,584,583,obj584-val584,584,0,512.057,221.559,23.685,512.057,221.559,23.685,505,214,13,518,228,35,4830,0.433,2093,2093,1312,1312,873.913,0.219,0.603,0.742,0.905,0.219,0.603,0.971,11.784,1.7,1.085,2186.126,0.957,4.745,13.557,7.864,1.679,MD577,12,187.0,23269.0
639,640,639,obj640-val640,640,0,204.169,266.211,32.419,204.169,266.211,32.419,192,259,17,212,276,45,10962,0.221,2422,2422,2006,2006,1333.405,0.082,0.435,0.28,0.654,0.082,0.435,0.931,11.905,1.068,1.525,4064.332,0.596,1.471,19.9,8.899,2.71,MD577,12,443.0,33377.0
652,653,652,obj653-val653,653,0,417.778,226.153,28.594,417.778,226.153,28.594,411,220,18,422,231,38,3024,0.37,1118,1118,892,892,594.623,0.199,0.584,0.672,0.876,0.199,0.584,0.959,10.178,1.802,1.039,1307.571,0.855,2.822,11.625,6.462,1.714,MD577,12,1.0,19071.0
969,970,969,obj970-val970,970,0,121.7,641.939,45.483,121.7,641.939,45.483,117,636,25,127,649,59,5390,0.245,1321,1321,1242,1242,836.703,0.103,0.469,0.337,0.696,0.103,0.469,0.928,17.174,3.123,1.178,1847.704,0.715,1.746,21.363,8.43,3.946,MD577,12,411.0,24872.0
975,976,975,obj976-val976,976,0,845.869,1365.334,71.771,845.869,1365.334,71.771,817,1332,25,877,1407,118,435784,0.205,89403,89403,27084,27084,18768.759,0.046,0.357,0.137,0.515,0.046,0.357,0.971,50.038,2.073,1.089,112113.256,0.797,5.055,54.415,29.869,9.08,MD577,12,1280.0,206496.0
1052,1053,1052,obj1053-val1053,1053,0,388.202,193.746,41.347,388.202,193.746,41.347,379,181,30,403,205,61,20000,0.147,2945,2945,2882,2882,1920.141,0.041,0.345,0.139,0.517,0.041,0.345,0.9,16.157,1.442,1.098,7733.597,0.381,0.475,22.769,10.136,3.3,MD577,12,0.0,40918.0
1419,1420,1419,obj1420-val1420,1420,0,364.568,198.398,56.019,364.568,198.398,56.019,355,191,42,372,208,70,9396,0.259,2437,2437,1712,1712,1145.875,0.134,0.512,0.446,0.764,0.134,0.512,0.954,12.135,1.401,1.279,2982.286,0.817,3.04,14.892,8.413,2.033,MD577,12,41.0,27808.0
1423,1424,1423,obj1424-val1424,1424,0,212.185,754.987,56.078,212.185,754.987,56.078,201,747,42,219,764,71,10260,0.153,1571,1571,1700,1700,1155.439,0.057,0.384,0.181,0.566,0.057,0.384,0.897,13.638,1.414,1.704,3118.887,0.504,0.201,16.924,7.982,2.937,MD577,12,0.0,29064.0
9766,9767,9766,obj9767-val9767,9767,0,675.939,1169.742,260.816,675.939,1169.742,260.816,672,1163,253,683,1180,268,3456,0.29,1001,1001,1058,1058,716.112,0.096,0.457,0.309,0.676,0.096,0.457,0.915,9.573,1.382,1.257,1531.459,0.654,2.452,11.556,6.378,1.844,MD577,12,431.0,21195.0
8,9,8,obj9-val9,9,0,282.394,185.115,22.316,282.394,185.115,22.316,254,176,0,307,196,40,46494,0.2,9305,9305,5974,5974,4092.356,0.046,0.358,0.143,0.523,0.046,0.358,0.938,33.055,1.566,3.156,19554.712,0.476,2.005,31.612,17.383,6.507,MD577,13,3479.0,73706.0
17,18,17,obj18-val18,18,0,283.024,214.567,24.603,283.024,214.567,24.603,269,203,0,297,228,42,32422,0.155,5024,5024,3952,3952,2712.62,0.046,0.359,0.143,0.523,0.046,0.359,0.923,23.685,1.652,1.706,11960.087,0.42,1.139,29.754,13.157,5.588,MD577,13,1146.0,56063.0
18,19,18,obj19-val19,19,0,249.68,211.228,64.022,249.68,211.228,64.022,217,179,0,284,253,123,632400,0.084,53299,53299,26982,26982,18683.39,0.016,0.254,0.049,0.367,0.016,0.254,0.941,63.716,2.13,1.932,123660.833,0.431,0.718,66.886,33.283,13.079,MD577,13,3502.0,247549.0
22,23,22,obj23-val23,23,0,313.169,226.038,10.143,313.169,226.038,10.143,305,216,0,321,232,24,7225,0.143,1036,1036,1154,1154,775.76,0.079,0.429,0.26,0.638,0.079,0.429,0.904,17.737,3.3,1.127,1904.55,0.544,1.337,15.97,8.302,3.697,MD577,13,588.0,24609.0
30,31,30,obj31-val31,31,0,543.169,229.001,25.274,543.169,229.001,25.274,532,222,0,550,235,51,13832,0.129,1780,1780,1882,1882,1286.175,0.054,0.377,0.168,0.552,0.054,0.377,0.898,27.252,3.893,1.243,4501.46,0.395,1.052,26.13,12.902,6.504,MD577,13,5500.0,37252.0
33,34,33,obj34-val34,34,0,487.134,241.641,14.941,487.134,241.641,14.941,481,235,0,492,247,26,4212,0.272,1144,1144,1032,1032,678.661,0.135,0.513,0.474,0.779,0.135,0.513,0.939,13.509,1.916,1.887,1490.97,0.767,2.176,15.118,7.345,2.811,MD577,13,2934.0,21682.0
51,52,51,obj52-val52,52,0,292.488,266.571,14.189,292.488,266.571,14.189,286,261,0,300,271,34,5775,0.181,1043,1043,1234,1234,825.475,0.065,0.403,0.219,0.603,0.065,0.403,0.891,21.473,3.797,1.278,2250.714,0.463,0.676,20.854,9.464,4.421,MD577,13,2009.0,26389.0
97,98,97,obj98-val98,98,0,243.899,376.367,13.272,243.899,376.367,13.272,229,372,0,253,380,23,5400,0.199,1075,1075,1108,1108,742.064,0.096,0.458,0.32,0.684,0.096,0.458,0.918,13.261,1.444,2.569,1824.598,0.589,1.658,16.558,7.615,2.985,MD577,13,3058.0,24113.0
132,133,132,obj133-val133,133,0,41.869,476.263,9.07,41.869,476.263,9.07,39,468,0,45,484,22,2737,0.389,1064,1064,1172,1172,812.789,0.08,0.43,0.238,0.62,0.08,0.43,0.905,13.831,1.704,2.577,1481.512,0.718,0.302,15.217,7.208,2.9,MD577,13,2.0,22523.0
138,139,138,obj139-val139,139,0,107.238,498.573,3.647,107.238,498.573,3.647,96,482,0,115,517,12,9360,0.187,1750,1750,1834,1834,1255.301,0.056,0.383,0.175,0.559,0.056,0.383,0.9,17.735,1.824,1.631,4303.821,0.407,2.758,19.158,9.459,3.867,MD577,13,200.0,33534.0
140,141,140,obj141-val141,141,0,9.005,504.531,24.853,9.005,504.531,24.853,0,486,0,28,524,48,55419,0.174,9646,9646,8282,8282,5690.017,0.019,0.265,0.057,0.385,0.019,0.265,0.899,27.111,1.195,1.837,31826.538,0.303,1.11,32.247,16.308,5.677,MD577,13,695.0,88981.0
148,149,148,obj149-val149,149,0,65.048,504.323,13.187,65.048,504.323,13.187,50,495,0,81,513,32,20064,0.152,3044,3044,2866,2866,1928.052,0.045,0.354,0.146,0.527,0.045,0.354,0.906,20.0,1.529,2.269,6314.766,0.482,1.023,22.147,10.974,4.377,MD577,13,1243.0,42046.0
155,156,155,obj156-val156,156,0,14.38,531.141,5.173,14.38,531.141,5.173,3,522,0,25,538,15,6256,0.279,1743,1743,1460,1460,1009.12,0.11,0.48,0.334,0.694,0.11,0.48,0.938,11.994,1.428,1.161,3050.439,0.571,1.635,13.083,7.743,2.258,MD577,13,232.0,26020.0
156,157,156,obj157-val157,157,0,66.507,536.183,3.257,66.507,536.183,3.257,60,524,0,74,550,10,4455,0.308,1372,1372,1346,1346,922.247,0.087,0.444,0.271,0.647,0.087,0.444,0.919,14.836,2.041,1.376,2386.254,0.575,0.585,14.275,7.829,2.869,MD577,13,40.0,25661.0
158,159,158,obj159-val159,159,0,46.794,528.627,13.86,46.794,528.627,13.86,41,524,0,53,533,28,3770,0.304,1146,1146,1036,1036,689.971,0.134,0.511,0.452,0.768,0.134,0.511,0.939,16.922,3.269,1.475,1287.082,0.89,1.646,14.799,8.111,3.428,MD577,13,129.0,21999.0
159,160,159,obj160-val160,160,0,94.428,538.457,6.598,94.428,538.457,6.598,78,531,0,117,547,25,17680,0.226,3995,3995,2962,2962,2075.804,0.069,0.411,0.202,0.587,0.069,0.411,0.935,25.961,2.295,1.732,8039.139,0.497,2.052,29.337,13.435,5.479,MD577,13,770.0,47023.0
165,166,165,obj166-val166,166,0,110.428,550.746,6.542,110.428,550.746,6.542,105,542,0,116,556,17,3240,0.434,1405,1405,1008,1008,697.167,0.218,0.602,0.659,0.87,0.218,0.602,0.967,10.399,1.47,1.366,1595.903,0.88,2.817,10.937,6.893,1.601,MD577,13,125.0,20433.0
249,250,249,obj250-val250,250,0,1794.967,1002.826,10.598,1794.967,1002.826,10.598,1776,988,0,1818,1008,35,32508,0.127,4142,4142,3410,3410,2391.102,0.049,0.366,0.142,0.522,0.049,0.366,0.92,23.187,1.815,1.763,8984.346,0.461,0.439,26.635,12.287,5.042,MD577,13,1.0,51015.0
315,316,315,obj316-val316,316,0,1716.587,1207.595,8.658,1716.587,1207.595,8.658,1695,1179,0,1733,1231,24,51675,0.203,10512,10512,6478,6478,4457.607,0.046,0.358,0.141,0.521,0.046,0.358,0.94,31.538,1.914,1.552,23118.521,0.455,1.571,31.614,17.408,6.408,MD577,13,0.0,75810.0
382,383,382,obj383-val383,383,0,533.223,245.859,19.335,533.223,245.859,19.335,521,240,5,544,251,32,8064,0.263,2117,2117,1698,1698,1105.662,0.104,0.47,0.375,0.721,0.104,0.47,0.939,17.169,2.139,1.564,2961.993,0.715,0.426,16.348,8.869,3.259,MD577,13,1379.0,28500.0
414,415,414,obj415-val415,415,0,259.388,346.721,23.416,259.388,346.721,23.416,251,341,7,272,353,39,9438,0.208,1965,1965,1756,1756,1187.58,0.081,0.432,0.261,0.639,0.081,0.432,0.925,15.523,1.45,2.424,3074.906,0.639,1.4,16.678,8.786,3.124,MD577,13,2569.0,29775.0
479,480,479,obj480-val480,480,0,149.568,578.645,18.653,149.568,578.645,18.653,143,572,9,156,585,29,4116,0.462,1903,1903,1178,1178,769.08,0.251,0.63,0.9,0.966,0.251,0.63,0.976,10.68,1.468,1.217,1945.655,0.978,4.454,10.486,7.463,1.311,MD577,13,2670.0,21402.0
496,497,496,obj497-val497,497,0,1744.75,1137.103,21.337,1744.75,1137.103,21.337,1728,1127,9,1758,1147,31,14973,0.153,2291,2291,2440,2440,1615.306,0.041,0.344,0.141,0.52,0.041,0.344,0.89,16.988,1.621,1.688,4631.07,0.495,1.364,20.832,9.813,3.959,MD577,13,0.0,36125.0
507,508,507,obj508-val508,508,0,279.769,284.857,20.769,279.769,284.857,20.769,269,279,10,291,292,34,8050,0.261,2104,2104,1728,1728,1136.345,0.097,0.46,0.341,0.699,0.097,0.46,0.936,12.74,1.17,2.164,2925.764,0.719,2.364,14.417,8.444,2.611,MD577,13,2503.0,28074.0
547,548,547,obj548-val548,548,0,513.412,236.57,23.43,513.412,236.57,23.43,508,232,12,519,241,34,2760,0.495,1365,1365,1004,1004,651.051,0.208,0.593,0.764,0.914,0.208,0.593,0.964,12.151,2.151,1.15,1411.491,0.967,3.734,12.224,7.072,2.035,MD577,13,1479.0,19935.0
584,585,584,obj585-val585,585,0,242.4,276.331,36.109,242.4,276.331,36.109,201,243,14,276,320,61,284544,0.049,13950,13950,12590,12590,8474.783,0.011,0.223,0.036,0.331,0.011,0.223,0.886,57.047,3.015,1.457,58701.803,0.238,0.694,55.057,25.82,12.112,MD577,13,4451.0,142891.0
607,608,607,obj608-val608,608,0,412.994,268.378,33.13,412.994,268.378,33.13,406,263,15,420,274,50,6480,0.243,1577,1577,1402,1402,943.081,0.102,0.467,0.335,0.695,0.102,0.467,0.932,21.183,3.542,1.543,2056.566,0.767,1.383,19.168,9.692,4.402,MD577,13,1354.0,27028.0
650,651,650,obj651-val651,651,0,514.161,1117.149,40.765,514.161,1117.149,40.765,496,1105,17,526,1129,62,35650,0.113,4035,4035,4022,4022,2752.185,0.028,0.305,0.088,0.445,0.028,0.305,0.89,23.14,1.422,1.551,16539.162,0.244,0.321,27.367,13.233,5.463,MD577,13,514.0,62703.0
675,676,675,obj676-val676,676,0,430.715,287.546,34.645,430.715,287.546,34.645,425,281,19,436,297,49,6324,0.182,1149,1149,1234,1234,830.4,0.079,0.43,0.261,0.639,0.079,0.43,0.908,17.4,2.497,1.69,2094.267,0.549,1.409,16.073,8.215,3.6,MD577,13,1019.0,25277.0
856,857,856,obj857-val857,857,0,545.076,1103.768,35.334,545.076,1103.768,35.334,538,1096,23,551,1112,50,6664,0.299,1993,1993,1594,1594,1062.816,0.111,0.48,0.374,0.721,0.111,0.48,0.942,14.192,1.666,1.646,2620.267,0.761,1.678,15.143,8.392,2.622,MD577,13,370.0,26878.0
907,908,907,obj908-val908,908,0,152.393,303.504,47.48,152.393,303.504,47.48,146,294,26,162,317,63,15504,0.141,2188,2188,2130,2130,1417.724,0.056,0.383,0.19,0.575,0.056,0.383,0.908,14.325,1.023,2.138,5501.483,0.398,0.919,23.773,9.82,3.991,MD577,13,293.0,37672.0
912,913,912,obj913-val913,913,0,141.351,622.367,36.157,141.351,622.367,36.157,133,617,26,158,627,46,6006,0.291,1750,1750,1698,1698,1140.905,0.071,0.414,0.233,0.616,0.071,0.414,0.914,14.529,1.46,1.96,3076.074,0.569,1.409,17.752,8.438,3.2,MD577,13,1.0,28410.0
929,930,929,obj930-val930,930,0,514.092,225.861,40.828,514.092,225.861,40.828,499,220,28,530,233,59,14336,0.254,3644,3644,2754,2754,1910.669,0.072,0.416,0.215,0.599,0.072,0.416,0.935,22.238,1.834,1.981,6916.843,0.527,0.239,21.194,11.57,4.156,MD577,13,2603.0,41315.0
1107,1108,1107,obj1108-val1108,1108,0,451.207,257.422,46.581,451.207,257.422,46.581,440,252,34,463,262,60,7128,0.234,1670,1670,1654,1654,1097.905,0.07,0.412,0.238,0.62,0.07,0.412,0.912,14.099,1.249,2.26,3326.33,0.502,1.402,13.879,8.46,2.82,MD577,13,204.0,28988.0
1138,1139,1138,obj1139-val1139,1139,0,1741.919,1032.444,44.253,1741.919,1032.444,44.253,1736,1026,34,1748,1040,55,4290,0.284,1219,1219,1098,1098,738.736,0.127,0.503,0.417,0.747,0.127,0.503,0.938,11.014,1.442,1.772,1519.275,0.802,2.143,12.252,6.83,2.016,MD577,13,165.0,21625.0
1145,1146,1145,obj1146-val1146,1146,0,459.374,1148.873,50.961,459.374,1148.873,50.961,452,1143,34,467,1156,63,6720,0.211,1420,1420,1248,1248,835.85,0.117,0.49,0.391,0.731,0.117,0.49,0.937,15.602,2.13,1.79,1959.549,0.725,2.378,18.251,8.253,3.356,MD577,13,1477.0,24908.0
1160,1161,1160,obj1161-val1161,1161,0,192.178,295.292,51.168,192.178,295.292,51.168,181,281,35,204,304,66,18432,0.11,2029,2029,2350,2350,1562.781,0.036,0.33,0.122,0.496,0.036,0.33,0.876,16.049,1.276,1.817,5855.035,0.347,1.385,19.01,9.659,3.348,MD577,13,373.0,38121.0
1301,1302,1301,obj1302-val1302,1302,0,405.433,196.232,61.063,405.433,196.232,61.063,396,190,44,413,210,76,12474,0.16,1991,1991,1758,1758,1172.267,0.083,0.435,0.278,0.653,0.083,0.435,0.926,18.215,2.547,1.11,3517.149,0.566,1.628,19.557,9.431,3.633,MD577,13,4.0,30696.0
1357,1358,1357,obj1358-val1358,1358,0,224.452,1113.585,62.628,224.452,1113.585,62.628,215,1103,45,234,1122,74,12000,0.119,1428,1428,1608,1608,1087.674,0.055,0.381,0.179,0.564,0.055,0.381,0.891,13.232,1.31,1.5,3767.745,0.379,0.717,19.074,8.196,3.196,MD577,13,0.0,30253.0
1463,1464,1463,obj1464-val1464,1464,0,441.324,1161.175,59.522,441.324,1161.175,59.522,433,1152,48,449,1171,70,7820,0.268,2098,2098,1690,1690,1154.18,0.103,0.469,0.324,0.687,0.103,0.469,0.939,11.235,1.122,1.579,2988.629,0.702,2.875,13.773,8.057,2.157,MD577,13,2234.0,27818.0
1645,1646,1645,obj1646-val1646,1646,0,220.441,1137.57,66.486,220.441,1137.57,66.486,215,1131,57,223,1146,80,3456,0.365,1262,1262,1048,1048,743.19,0.156,0.539,0.439,0.76,0.156,0.539,0.949,12.943,1.921,1.559,1578.34,0.8,2.526,14.21,7.136,2.421,MD577,13,0.0,21880.0
1875,1876,1875,obj1876-val1876,1876,0,108.61,1124.633,85.871,108.61,1124.633,85.871,104,1120,74,112,1131,99,2808,0.504,1414,1414,1112,1112,816.435,0.164,0.548,0.416,0.746,0.164,0.548,0.954,14.166,1.983,1.823,1661.387,0.851,2.116,13.553,7.69,2.661,MD577,13,190.0,22890.0
1918,1919,1918,obj1919-val1919,1919,0,236.304,1131.923,93.826,236.304,1131.923,93.826,228,1127,79,241,1141,106,5880,0.215,1267,1267,1142,1142,751.693,0.122,0.496,0.427,0.753,0.122,0.496,0.936,14.153,2.243,1.417,1666.649,0.76,2.172,15.206,7.597,2.723,MD577,13,92.0,22997.0
27,28,27,obj28-val28,28,0,797.204,679.169,213.42,797.204,679.169,213.42,792,672,206,804,684,227,3718,0.275,1021,1021,930,930,608.047,0.147,0.527,0.524,0.806,0.147,0.527,0.942,9.776,1.393,1.549,1302.439,0.784,1.658,13.759,6.4,1.896,MD620,0,0.0,19679.0
548,549,548,obj549-val549,549,0,1669.484,989.162,65.555,1669.484,989.162,65.555,1664,976,53,1675,1002,78,8424,0.217,1824,1824,1740,1740,1165.846,0.071,0.415,0.237,0.619,0.071,0.415,0.916,16.594,1.651,2.517,2787.583,0.654,1.065,17.466,8.791,3.392,MD620,1,71.0,28770.0
550,551,550,obj551-val551,551,0,690.285,189.318,79.065,690.285,189.318,79.065,681,174,55,698,202,99,23490,0.059,1388,1388,1806,1806,1173.176,0.037,0.333,0.135,0.513,0.037,0.333,0.86,30.224,4.402,1.277,4674.063,0.297,0.432,27.918,12.633,6.804,MD620,1,148.0,36477.0
