, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
145,146,145,obj146-val146,146,0,788.905,167.39,170.171,788.905,167.39,170.171,781,157,158,797,175,182,8075,0.33,2664,2664,1858,1858,1248.471,0.125,0.5,0.412,0.744,0.125,0.5,0.952,12.747,1.341,1.537,3137.995,0.849,1.952,14.197,8.515,2.133,MD495,3,0.0,27719.0
146,147,146,obj147-val147,147,0,946.25,1068.881,173.135,946.25,1068.881,173.135,941,1059,158,955,1077,188,8835,0.325,2869,2869,1844,1844,1223.712,0.148,0.53,0.508,0.798,0.148,0.53,0.96,14.131,1.532,1.457,3457.581,0.83,3.957,16.668,9.101,2.501,MD495,3,0.0,29643.0
153,154,153,obj154-val154,154,0,1721.735,818.525,192.007,1721.735,818.525,192.007,1717,812,172,1727,831,209,8360,0.23,1923,1923,1640,1640,1100.716,0.095,0.456,0.314,0.679,0.095,0.456,0.933,24.672,4.395,1.116,2918.427,0.659,0.544,20.354,10.87,4.924,MD495,3,0.0,29921.0
167,168,167,obj168-val168,168,0,1309.777,135.432,199.168,1309.777,135.432,199.168,1305,130,188,1315,141,211,3168,0.484,1532,1532,1064,1064,701.332,0.22,0.604,0.769,0.916,0.22,0.604,0.968,12.129,1.87,1.351,1582.354,0.968,3.696,11.847,7.268,1.946,MD495,3,187.0,20695.0
170,171,170,obj171-val171,171,0,670.818,110.373,203.662,670.818,110.373,203.662,662,105,195,677,119,213,4560,0.223,1016,1016,1036,1036,711.718,0.105,0.472,0.324,0.687,0.105,0.472,0.922,10.876,1.507,1.311,1809.384,0.562,0.735,12.637,6.513,2.19,MD495,3,0.0,21167.0
176,177,176,obj177-val177,177,0,755.726,101.137,226.416,755.726,101.137,226.416,750,96,211,763,107,239,4872,0.449,2187,2187,1380,1380,965.722,0.206,0.59,0.601,0.844,0.206,0.59,0.97,16.798,2.559,1.27,2387.312,0.916,3.605,16.644,9.03,3.106,MD495,3,0.0,25988.0
188,189,188,obj189-val189,189,0,664.239,871.844,229.378,664.239,871.844,229.378,659,864,216,675,878,239,6120,0.339,2072,2072,1780,1780,1218.235,0.086,0.442,0.269,0.645,0.086,0.442,0.93,15.296,1.754,1.436,3393.783,0.611,2.577,15.022,8.811,2.86,MD495,3,91.30588235294118,28869.0
189,190,189,obj190-val190,190,0,602.122,1003.124,228.653,602.122,1003.124,228.653,597,998,216,606,1009,239,2880,0.499,1437,1437,1192,1192,832.783,0.138,0.517,0.404,0.739,0.138,0.517,0.946,16.669,2.745,1.28,2011.575,0.714,1.465,14.003,8.364,3.118,MD495,3,192.2980392156863,23847.0
33,34,33,obj34-val34,34,0,1229.39,1469.805,52.713,1229.39,1469.805,52.713,1209,1456,27,1250,1482,73,53298,0.18,9600,9600,5394,5394,3567.988,0.066,0.405,0.229,0.612,0.066,0.405,0.951,22.899,1.839,1.088,13658.457,0.703,2.128,31.411,14.616,5.073,MD495,4,70.0,63049.0
67,68,67,obj68-val68,68,0,1472.968,1298.675,100.941,1472.968,1298.675,100.941,1462,1286,85,1486,1314,116,23200,0.265,6141,6141,3208,3208,2062.449,0.129,0.506,0.486,0.786,0.129,0.506,0.966,16.175,1.267,1.55,7122.945,0.862,5.716,17.552,11.708,2.486,MD495,4,4.0,41558.0
72,73,72,obj73-val73,73,0,853.944,234.712,112.677,853.944,234.712,112.677,842,224,97,869,246,127,19964,0.341,6807,6807,3406,3406,2273.401,0.133,0.51,0.446,0.764,0.133,0.51,0.968,14.48,1.07,1.378,8067.296,0.844,5.006,17.076,11.486,2.27,MD495,4,401.0,42440.0
